,time_start,time_end,duration
0,1982-05-01,1983-04-01,12
1,1986-12-01,1987-09-01,10
2,1990-02-01,1990-03-01,2
3,1991-03-01,1991-05-01,3
4,1991-08-01,1992-04-01,9
5,1992-06-01,1992-07-01,2
6,1992-10-01,1992-11-01,2
7,1993-01-01,1993-10-01,10
8,1994-03-01,1994-12-01,10
9,1995-04-01,1995-05-01,2
10,1997-04-01,1998-04-01,13
11,2002-05-01,2002-10-01,6
12,2003-02-01,2003-03-01,2
13,2003-05-01,2003-06-01,2
14,2004-06-01,2004-08-01,3
15,2004-11-01,2004-12-01,2
16,2005-04-01,2005-05-01,2
17,2006-06-01,2006-08-01,3
18,2009-12-01,2010-03-01,4
19,2014-08-01,2014-11-01,4
20,2015-05-01,2015-10-01,6
21,2015-12-01,2016-02-01,3
22,2018-08-01,2018-09-01,2
23,2019-02-01,2019-03-01,2
24,2019-05-01,2019-06-01,2
