lon,lat,event_no,date_start,date_peak,date_end,duration,intensity_mean,intensity_max,intensity_cumulative
112.875,-28.875,1,1982-08-07,1982-08-10,1982-08-12,6,1.327,1.47,7.96
112.875,-28.875,2,1983-01-16,1983-01-18,1983-01-20,5,1.608,1.7,8.04
112.875,-28.875,3,1983-06-06,1983-06-12,1983-06-16,11,1.971,2.45,21.68
112.875,-28.875,4,1984-06-28,1984-07-02,1984-07-12,15,1.83,2.12,27.45
112.875,-28.875,5,1984-07-28,1984-07-31,1984-08-01,5,1.288,1.36,6.44
112.875,-28.875,6,1984-09-21,1984-10-05,1984-10-08,18,1.734,2.41,31.22
112.875,-28.875,7,1985-02-23,1985-03-04,1985-03-06,12,1.596,1.81,19.15
112.875,-28.875,8,1987-10-01,1987-10-04,1987-10-07,7,1.317,1.51,9.22
112.875,-28.875,9,1989-04-12,1989-04-16,1989-04-18,7,1.73,1.87,12.11
112.875,-28.875,10,1989-04-25,1989-04-29,1989-04-30,6,2.138,2.3,12.83
112.875,-28.875,11,1989-05-04,1989-05-16,1989-05-23,20,1.948,2.22,38.96
112.875,-28.875,12,1989-08-09,1989-08-11,1989-08-13,5,1.408,1.58,7.04
112.875,-28.875,13,1989-08-30,1989-09-03,1989-09-10,12,1.393,1.73,16.72
112.875,-28.875,14,1990-02-25,1990-02-26,1990-03-06,10,1.755,2.1,17.55
112.875,-28.875,15,1991-09-10,1991-09-12,1991-09-17,8,1.265,1.42,10.12
112.875,-28.875,16,1996-02-08,1996-02-13,1996-02-15,8,1.804,2.17,14.43
112.875,-28.875,17,1996-06-06,1996-06-17,1996-06-21,16,1.776,2.2,28.41
112.875,-28.875,18,1996-07-24,1996-07-28,1996-07-28,5,1.52,1.6,7.6
112.875,-28.875,19,1996-08-17,1996-08-19,1996-08-25,9,1.332,1.54,11.99
112.875,-28.875,20,1996-09-01,1996-09-03,1996-09-09,9,1.204,1.26,10.84
112.875,-28.875,21,1996-11-08,1996-12-21,1996-12-23,46,1.573,2.59,72.38
112.875,-28.875,22,1997-01-06,1997-01-17,1997-01-28,23,2.068,2.66,47.56
112.875,-28.875,23,1998-08-29,1998-09-01,1998-09-02,5,1.372,1.52,6.86
112.875,-28.875,24,1998-09-06,1998-09-08,1998-09-10,5,1.454,1.93,7.27
112.875,-28.875,25,1999-04-05,1999-04-05,1999-04-14,10,1.9,2.76,19
112.875,-28.875,26,1999-04-29,1999-05-18,1999-08-10,104,2.241,2.92,233.09
112.875,-28.875,27,1999-12-30,2000-01-02,2000-01-06,8,2.147,2.74,17.18
112.875,-28.875,28,2000-02-12,2000-02-15,2000-02-17,6,1.675,2.01,10.05
112.875,-28.875,29,2000-04-09,2000-04-23,2000-04-23,15,1.734,1.88,26.01
112.875,-28.875,30,2000-04-29,2000-05-10,2000-05-11,13,2.093,2.32,27.21
112.875,-28.875,31,2000-05-15,2000-05-16,2000-05-19,5,1.548,1.59,7.74
112.875,-28.875,32,2003-03-07,2003-03-11,2003-03-11,5,1.458,1.63,7.29
112.875,-28.875,33,2005-07-25,2005-07-25,2005-07-29,5,1.438,1.56,7.19
112.875,-28.875,34,2006-03-05,2006-03-06,2006-03-10,6,2.388,2.8,14.33
112.875,-28.875,35,2007-07-14,2007-07-21,2007-08-06,24,1.442,1.71,34.61
112.875,-28.875,36,2007-08-13,2007-08-17,2007-08-20,8,1.264,1.54,10.11
112.875,-28.875,37,2008-02-08,2008-02-13,2008-02-15,8,2.291,2.94,18.33
112.875,-28.875,38,2008-04-02,2008-04-16,2008-04-29,28,2.232,3.56,62.5
112.875,-28.875,39,2008-05-06,2008-05-07,2008-05-12,7,1.92,2.2,13.44
112.875,-28.875,40,2008-09-22,2008-09-29,2008-10-04,13,1.684,1.98,21.89
112.875,-28.875,41,2008-10-19,2008-10-20,2008-10-27,9,1.374,1.91,12.37
112.875,-28.875,42,2009-03-19,2009-03-24,2009-03-26,8,1.562,1.84,12.5
112.875,-28.875,43,2010-09-23,2010-09-29,2010-10-10,18,1.669,2.36,30.05
112.875,-28.875,44,2010-10-15,2010-10-19,2010-10-20,6,1.367,1.67,8.2
112.875,-28.875,45,2010-10-31,2010-11-19,2010-12-12,43,1.807,2.79,77.7
112.875,-28.875,46,2010-12-22,2011-02-25,2011-04-06,106,3.05,6.13,323.32
112.875,-28.875,47,2011-04-15,2011-04-17,2011-04-19,5,2.032,2.57,10.16
112.875,-28.875,48,2011-04-24,2011-04-27,2011-04-30,7,1.957,2.14,13.7
112.875,-28.875,49,2011-05-28,2011-05-29,2011-06-04,8,1.629,1.8,13.03
112.875,-28.875,50,2011-06-19,2011-06-20,2011-06-24,6,1.677,1.85,10.06
112.875,-28.875,51,2011-11-08,2011-11-15,2011-11-16,9,1.341,1.54,12.07
112.875,-28.875,52,2011-11-20,2011-11-23,2011-11-26,7,1.489,2.04,10.42
112.875,-28.875,53,2011-11-30,2011-12-03,2011-12-05,6,1.385,1.57,8.31
112.875,-28.875,54,2011-12-16,2011-12-21,2011-12-27,12,1.502,1.72,18.03
112.875,-28.875,55,2012-01-11,2012-01-28,2012-02-25,46,2.162,3.36,99.44
112.875,-28.875,56,2012-03-02,2012-03-11,2012-03-25,24,1.784,2.46,42.81
112.875,-28.875,57,2012-04-01,2012-04-10,2012-04-12,12,1.715,2.17,20.58
112.875,-28.875,58,2012-12-27,2012-12-31,2013-01-19,24,2.038,3.3,48.92
112.875,-28.875,59,2013-02-10,2013-02-12,2013-02-17,8,1.809,2.19,14.47
112.875,-28.875,60,2013-02-26,2013-03-09,2013-03-10,13,1.548,1.93,20.12
112.875,-28.875,61,2013-06-18,2013-06-20,2013-06-22,5,1.58,1.66,7.9
112.875,-28.875,62,2014-07-31,2014-08-12,2014-09-21,53,1.605,2.33,85.08
112.875,-28.875,63,2014-10-01,2014-10-04,2014-10-08,8,1.242,1.4,9.94
112.875,-28.875,64,2014-10-22,2014-10-23,2014-10-26,5,1.09,1.18,5.45
112.875,-28.875,65,2015-04-27,2015-05-03,2015-05-07,11,2.109,2.69,23.2
112.875,-28.875,66,2015-09-30,2015-10-02,2015-10-04,5,1.778,2.16,8.89
112.875,-28.875,67,2015-10-09,2015-10-29,2015-10-31,23,1.256,1.92,28.9
112.875,-28.875,68,2019-12-25,2019-12-28,2019-12-29,5,1.52,1.72,7.6
